opener,avg_guesses,median_guesses,fails,max_guesses
ident,4.000000,4.0,133,11
tunas,4.000000,4.0,151,11
tombs,4.000196,4.0,100,11
naped,4.000196,4.0,106,11
tonga,4.000196,4.0,126,10
omers,4.000196,4.0,127,13
amole,4.000196,4.0,132,12
haets,4.000196,4.0,137,11
denis,4.000196,4.0,154,11
staph,4.000392,4.0,90,9
ditch,4.000392,4.0,91,10
butle,4.000392,4.0,113,10
soldi,4.000392,4.0,127,11
pitso,4.000392,4.0,129,11
istle,4.000392,4.0,132,11
coils,4.000392,4.0,149,12
coset,4.000392,4.0,149,12
anole,4.000392,4.0,150,12
rebop,4.000589,4.0,93,10
drums,4.000589,4.0,104,11
maund,4.000589,4.0,113,10
upran,4.000589,4.0,114,11
mensa,4.000589,4.0,121,12
honer,4.000589,4.0,130,11
grace,4.000589,4.0,132,12
culti,4.000785,4.0,116,11
aleft,4.000785,4.0,117,11
feral,4.000785,4.0,117,11
tabis,4.000785,4.0,127,11
clour,4.000785,4.0,128,12
logan,4.000785,4.0,131,11
regot,4.000785,4.0,132,10
align,4.000785,4.0,135,11
glair,4.000785,4.0,135,12
giant,4.000785,4.0,139,11
coste,4.000785,4.0,145,12
reoil,4.000785,4.0,148,12
arnis,4.000785,4.0,156,11
prink,4.000981,4.0,98,10
pager,4.000981,4.0,112,11
duper,4.000981,4.0,119,11
galed,4.000981,4.0,127,11
pulmo,4.001177,4.0,92,11
cupro,4.001177,4.0,104,12
terfs,4.001177,4.0,107,11
forte,4.001177,4.0,112,11
albid,4.001177,4.0,113,11
praus,4.001177,4.0,115,12
sprue,4.001177,4.0,116,11
holed,4.001177,4.0,122,11
luted,4.001177,4.0,136,12
reign,4.001177,4.0,137,11
linos,4.001177,4.0,148,12
pronk,4.001373,4.0,89,10
mahrs,4.001373,4.0,96,12
notch,4.001373,4.0,99,10
harim,4.001373,4.0,108,12
murti,4.001373,4.0,111,12
spaul,4.001373,4.0,111,11
breid,4.001373,4.0,115,10
clary,4.001373,4.0,119,11
bears,4.001373,4.0,140,12
minae,4.001373,4.0,140,12
dolie,4.001373,4.0,147,12
touns,4.001373,4.0,149,11
pilum,4.001570,4.0,82,11
cleft,4.001570,4.0,90,11
cling,4.001570,4.0,103,11
unlap,4.001570,4.0,107,11
forts,4.001570,4.0,109,11
tache,4.001570,4.0,111,11
cunit,4.001570,4.0,130,12
feats,4.001570,4.0,131,11
tongs,4.001570,4.0,138,11
ranse,4.001570,4.0,152,11
trock,4.001766,4.0,98,12
nicht,4.001766,4.0,102,11
chord,4.001766,4.0,104,11
bruts,4.001766,4.0,116,10
bated,4.001766,4.0,117,10
opsit,4.001766,4.0,119,11
aimed,4.001766,4.0,121,10
tinge,4.001766,4.0,122,11
cruel,4.001766,4.0,125,13
sured,4.001766,4.0,130,11
mirah,4.001962,4.0,107,11
carbo,4.001962,4.0,116,12
hated,4.001962,4.0,117,10
talik,4.001962,4.0,122,12
artly,4.001962,4.0,123,11
grein,4.001962,4.0,137,11
urned,4.001962,4.0,142,11
impot,4.002158,4.0,84,11
drawn,4.002158,4.0,96,10
mbila,4.002158,4.0,98,11
mardy,4.002158,4.0,101,11
scopa,4.002158,4.0,114,11
drony,4.002158,4.0,117,11
eruct,4.002158,4.0,127,11
niced,4.002158,4.0,127,11
lager,4.002158,4.0,129,12
tondi,4.002158,4.0,130,11
manse,4.002158,4.0,133,12
baels,4.002158,4.0,137,12
nomes,4.002158,4.0,141,12
ordie,4.002158,4.0,143,11
crias,4.002158,4.0,154,12
ngram,4.002354,4.0,92,11
sitch,4.002354,4.0,100,11
sepic,4.002354,4.0,106,11
scend,4.002354,4.0,113,10
unapt,4.002354,4.0,114,11
bacne,4.002354,4.0,121,11
tilak,4.002354,4.0,124,12
pauls,4.002354,4.0,125,12
angle,4.002354,4.0,128,11
stour,4.002354,4.0,131,10
mason,4.002354,4.0,133,11
dolia,4.002354,4.0,142,12
leirs,4.002354,4.0,157,13
skart,4.002551,4.0,98,11
carob,4.002551,4.0,115,12
drags,4.002551,4.0,115,11
mould,4.002551,4.0,117,11
ahint,4.002551,4.0,122,11
along,4.002551,4.0,130,11
radio,4.002551,4.0,136,11
amirs,4.002551,4.0,141,13
limba,4.002747,4.0,90,11
mbira,4.002747,4.0,96,11
bream,4.002747,4.0,104,11
psora,4.002747,4.0,122,11
grade,4.002747,4.0,134,11
grail,4.002747,4.0,136,12
rownd,4.002943,4.0,88,10
shred,4.002943,4.0,102,10
bento,4.002943,4.0,119,10
durst,4.002943,4.0,123,11
miros,4.002943,4.0,135,13
pines,4.002943,4.0,139,12
brome,4.003139,4.0,103,11
admin,4.003139,4.0,111,11
margo,4.003139,4.0,112,12
dulce,4.003139,4.0,126,11
herls,4.003139,4.0,128,11
hilar,4.003139,4.0,128,11
idant,4.003139,4.0,132,10
redos,4.003139,4.0,137,11
argon,4.003139,4.0,143,11
eorls,4.003139,4.0,145,13
prick,4.003335,4.0,82,11
drack,4.003335,4.0,96,11
thaim,4.003335,4.0,97,11
girth,4.003335,4.0,100,11
cupel,4.003335,4.0,114,12
canty,4.003335,4.0,120,11
basen,4.003335,4.0,122,11
caber,4.003335,4.0,124,12
herns,4.003335,4.0,130,11
muras,4.003335,4.0,130,13
argil,4.003335,4.0,133,11
grins,4.003335,4.0,135,11
nurts,4.003335,4.0,140,10
liers,4.003335,4.0,160,13
milty,4.003531,4.0,100,10
brule,4.003531,4.0,113,11
dargs,4.003531,4.0,113,11
feint,4.003531,4.0,114,11
pelog,4.003531,4.0,114,11
bancs,4.003531,4.0,119,11
sabin,4.003531,4.0,119,10
rolag,4.003531,4.0,123,11
buret,4.003531,4.0,126,10
girls,4.003531,4.0,130,12
doris,4.003531,4.0,138,12
acres,4.003531,4.0,149,12
cains,4.003531,4.0,153,12
plume,4.003728,4.0,106,12
fient,4.003728,4.0,113,11
lucid,4.003728,4.0,127,11
shote,4.003728,4.0,128,10
griot,4.003728,4.0,145,11
stark,4.003924,4.0,92,11
paced,4.003924,4.0,116,11
satyr,4.003924,4.0,119,10
repun,4.003924,4.0,120,11
brute,4.003924,4.0,124,11
cnida,4.003924,4.0,124,11
could,4.003924,4.0,124,12
mados,4.003924,4.0,127,12
atoms,4.003924,4.0,128,12
crust,4.003924,4.0,133,11
omnes,4.003924,4.0,135,12
orles,4.003924,4.0,144,13
rauns,4.003924,4.0,145,11
lenos,4.003924,4.0,156,12
cries,4.003924,4.0,161,13
maths,4.004120,4.0,91,11
hepar,4.004120,4.0,107,11
atmos,4.004120,4.0,122,12
curli,4.004120,4.0,123,12
meson,4.004120,4.0,131,12
round,4.004120,4.0,135,11
trigo,4.004120,4.0,137,11
snift,4.004316,4.0,104,10
caped,4.004316,4.0,112,11
talks,4.004316,4.0,112,12
pilao,4.004316,4.0,120,11
mauls,4.004316,4.0,122,13
glost,4.004316,4.0,133,10
gents,4.004316,4.0,136,11
glade,4.004316,4.0,137,12
moans,4.004316,4.0,141,12
sarge,4.004316,4.0,143,11
oread,4.004316,4.0,153,11
cruft,4.004512,4.0,91,11
dormy,4.004512,4.0,101,10
scath,4.004512,4.0,107,10
twals,4.004512,4.0,112,11
tabun,4.004512,4.0,113,10
pends,4.004512,4.0,118,11
trike,4.004512,4.0,121,11
blase,4.004512,4.0,137,12
heals,4.004512,4.0,141,12
retch,4.004709,4.0,97,10
loser,4.004709,4.0,135,13
nuder,4.004709,4.0,138,11
danse,4.004709,4.0,141,11
eards,4.004709,4.0,146,11
routs,4.004709,4.0,148,11
adits,4.004709,4.0,150,11
mutic,4.004905,4.0,99,12
cronk,4.004905,4.0,105,11
burnt,4.004905,4.0,106,10
boite,4.004905,4.0,123,11
paoli,4.004905,4.0,123,12
ruled,4.004905,4.0,125,12
pulas,4.004905,4.0,126,11
halid,4.004905,4.0,130,11
depth,4.005101,4.0,78,10
pasmo,4.005101,4.0,106,10
farle,4.005101,4.0,110,12
spout,4.005101,4.0,113,10
gamer,4.005101,4.0,116,12
malus,4.005101,4.0,120,13
bider,4.005101,4.0,123,11
pions,4.005101,4.0,131,11
pinas,4.005101,4.0,136,11
noire,4.005101,4.0,154,12
loris,4.005101,4.0,158,13
plish,4.005297,4.0,92,10
pricy,4.005297,4.0,94,11
linch,4.005297,4.0,100,11
chiel,4.005297,4.0,109,12
brunt,4.005297,4.0,110,10
built,4.005297,4.0,111,11
farls,4.005297,4.0,113,12
cabin,4.005297,4.0,114,11
mapes,4.005297,4.0,118,11
padis,4.005297,4.0,120,11
traik,4.005297,4.0,124,11
amens,4.005297,4.0,131,11
dimes,4.005297,4.0,133,12
glans,4.005297,4.0,135,11
minse,4.005297,4.0,140,12
rosin,4.005297,4.0,140,11
segar,4.005297,4.0,145,11
berms,4.005493,4.0,102,11
bords,4.005493,4.0,104,11
manic,4.005493,4.0,111,12
purin,4.005493,4.0,115,11
shiel,4.005493,4.0,131,11
groin,4.005493,4.0,137,11
beans,4.005493,4.0,140,11
loirs,4.005493,4.0,153,13
frost,4.005690,4.0,110,11
frets,4.005690,4.0,118,11
urped,4.005690,4.0,118,11
lidos,4.005690,4.0,144,12
plash,4.005886,4.0,101,11
porny,4.005886,4.0,103,10
porus,4.005886,4.0,122,12
puros,4.005886,4.0,122,12
hails,4.005886,4.0,130,12
lumen,4.005886,4.0,130,12
tulsi,4.005886,4.0,130,11
largo,4.005886,4.0,133,12
maids,4.005886,4.0,134,12
stoun,4.005886,4.0,137,10
rumps,4.006082,4.0,76,11
masut,4.006082,4.0,111,12
abler,4.006082,4.0,113,12
stupa,4.006082,4.0,115,10
afret,4.006082,4.0,116,11
mourn,4.006082,4.0,116,12
troak,4.006082,4.0,119,11
heron,4.006082,4.0,129,10
tuned,4.006082,4.0,136,11
aroid,4.006082,4.0,143,11
damps,4.006278,4.0,91,11
puton,4.006278,4.0,110,11
bands,4.006278,4.0,115,11
corbe,4.006278,4.0,116,11
gault,4.006278,4.0,118,11
tarok,4.006278,4.0,118,12
cornu,4.006278,4.0,126,11
muter,4.006278,4.0,130,12
gored,4.006278,4.0,139,11
dimps,4.006474,4.0,90,10
swelt,4.006474,4.0,105,10
herps,4.006474,4.0,108,10
taupe,4.006474,4.0,120,11
lings,4.006474,4.0,121,11
renig,4.006474,4.0,130,11
boles,4.006474,4.0,135,12
monas,4.006474,4.0,138,12
oiled,4.006474,4.0,148,12
gaits,4.006474,4.0,151,11
flimp,4.006671,4.0,61,10
spark,4.006671,4.0,89,11
maneb,4.006671,4.0,97,11
gibel,4.006671,4.0,111,11
chola,4.006671,4.0,114,11
chats,4.006671,4.0,117,11
mauts,4.006671,4.0,127,12
longa,4.006671,4.0,129,11
boats,4.006671,4.0,133,11
crown,4.006867,4.0,106,10
drupe,4.006867,4.0,115,10
rahed,4.006867,4.0,115,10
prude,4.006867,4.0,118,10
crony,4.006867,4.0,124,11
horde,4.006867,4.0,125,10
reing,4.006867,4.0,131,11
shola,4.006867,4.0,134,11
rogan,4.006867,4.0,141,11
dules,4.006867,4.0,150,12
beath,4.007063,4.0,105,10
abled,4.007063,4.0,113,12
libor,4.007063,4.0,116,12
putid,4.007063,4.0,117,11
argol,4.007063,4.0,131,11
garni,4.007063,4.0,139,11
aider,4.007063,4.0,155,12
mgals,4.007259,4.0,100,12
gable,4.007259,4.0,106,11
litho,4.007259,4.0,110,11
poind,4.007259,4.0,113,11
agent,4.007259,4.0,132,11
canoe,4.007259,4.0,144,12
eliad,4.007259,4.0,151,12
empts,4.007455,4.0,79,11
mucor,4.007455,4.0,109,13
tubar,4.007455,4.0,110,11
horme,4.007455,4.0,113,12
monic,4.007455,4.0,113,11
wrist,4.007455,4.0,118,10
pours,4.007455,4.0,121,12
palus,4.007455,4.0,127,12
nicad,4.007455,4.0,129,11
saber,4.007455,4.0,132,11
mosed,4.007455,4.0,133,12
moira,4.007455,4.0,142,12
sural,4.007455,4.0,145,12
dinos,4.007455,4.0,150,11
arcos,4.007455,4.0,159,12
right,4.007652,4.0,97,11
bunts,4.007652,4.0,109,10
chals,4.007652,4.0,110,12
slink,4.007652,4.0,110,11
punto,4.007652,4.0,112,11
abrin,4.007652,4.0,123,11
tunic,4.007652,4.0,127,12
sudan,4.007652,4.0,129,11
rhone,4.007652,4.0,132,11
emits,4.007652,4.0,133,12
botes,4.007652,4.0,134,11
bates,4.007652,4.0,138,11
todea,4.007652,4.0,141,11
stoae,4.007652,4.0,152,11
irone,4.007652,4.0,155,11
rouet,4.007652,4.0,155,11
locum,4.007848,4.0,105,12
glads,4.007848,4.0,119,11
haler,4.007848,4.0,126,12
tolus,4.007848,4.0,142,11
eiron,4.007848,4.0,146,12
roins,4.007848,4.0,158,11
raise,4.007848,4.0,164,12
dines,4.007848,4.0,169,11
rumpo,4.008044,4.0,85,11
stupe,4.008044,4.0,105,10
spado,4.008044,4.0,106,10
spide,4.008044,4.0,109,11
musta,4.008044,4.0,110,12
disme,4.008044,4.0,123,12
karts,4.008044,4.0,124,12
recut,4.008044,4.0,142,11
dorsa,4.008044,4.0,143,12
bares,4.008044,4.0,144,11
loids,4.008044,4.0,148,12
lutes,4.008044,4.0,164,12
sprog,4.008240,4.0,90,10
light,4.008240,4.0,96,11
blued,4.008240,4.0,111,11
magot,4.008240,4.0,111,11
cheat,4.008240,4.0,114,11
ahold,4.008240,4.0,122,11
nitry,4.008240,4.0,125,11
tapus,4.008240,4.0,128,11
oners,4.008240,4.0,152,12
geals,4.008240,4.0,161,12
froth,4.008436,4.0,84,10
blank,4.008436,4.0,92,11
scrob,4.008436,4.0,97,10
shend,4.008436,4.0,102,9
donah,4.008436,4.0,110,10
grime,4.008436,4.0,115,11
strig,4.008436,4.0,116,10
germs,4.008436,4.0,118,11
linty,4.008436,4.0,119,11
pilus,4.008436,4.0,126,11
solah,4.008436,4.0,127,10
algin,4.008436,4.0,135,11
baons,4.008436,4.0,137,11
teary,4.008436,4.0,141,11
sdein,4.008436,4.0,144,10
smorg,4.008633,4.0,95,11
typal,4.008633,4.0,98,10
progs,4.008633,4.0,101,11
pecia,4.008633,4.0,120,12
dhole,4.008633,4.0,121,10
curst,4.008633,4.0,128,12
tyran,4.008633,4.0,131,11
hales,4.008633,4.0,137,12
laity,4.008633,4.0,139,11
frape,4.008829,4.0,93,10
farms,4.008829,4.0,96,12
tryma,4.008829,4.0,98,10
clown,4.008829,4.0,100,11
sirup,4.008829,4.0,106,11
scope,4.008829,4.0,113,11
cribs,4.008829,4.0,115,11
mogar,4.008829,4.0,120,12
sudor,4.008829,4.0,120,10
haste,4.008829,4.0,134,11
mailo,4.008829,4.0,135,13
boras,4.008829,4.0,138,12
moria,4.008829,4.0,140,13
maneh,4.009025,4.0,110,11
muton,4.009025,4.0,112,11
spode,4.009025,4.0,114,11
unmet,4.009025,4.0,116,11
shoal,4.009025,4.0,125,10
chare,4.009025,4.0,126,12
grice,4.009025,4.0,128,11
shore,4.009025,4.0,133,11
poena,4.009025,4.0,138,11
entia,4.009025,4.0,151,11
daurs,4.009221,4.0,138,12
nosir,4.009221,4.0,140,11
chirm,4.009417,4.0,90,12
bling,4.009417,4.0,91,10
splay,4.009417,4.0,100,10
plink,4.009417,4.0,101,11
grads,4.009417,4.0,121,11
ringe,4.009417,4.0,132,11
crios,4.009417,4.0,147,12
taigs,4.009417,4.0,148,11
salue,4.009417,4.0,152,12
aloed,4.009417,4.0,154,12
grump,4.009613,4.0,66,10
swarm,4.009613,4.0,79,11
groms,4.009613,4.0,112,11
musit,4.009613,4.0,115,12
spice,4.009613,4.0,116,11
genro,4.009613,4.0,134,11
raged,4.009613,4.0,135,10
nipas,4.009613,4.0,137,11
erica,4.009613,4.0,143,13
dauts,4.009613,4.0,146,10
braes,4.009613,4.0,148,11
saice,4.009613,4.0,159,12
tophe,4.009810,4.0,106,10
genip,4.009810,4.0,110,12
tecum,4.009810,4.0,110,11
medic,4.009810,4.0,112,11
decim,4.009810,4.0,113,11
dogal,4.009810,4.0,122,11
ducat,4.009810,4.0,124,11
nabes,4.009810,4.0,131,11
centu,4.009810,4.0,137,11
liang,4.009810,4.0,138,12
bundt,4.010006,4.0,89,10
delft,4.010006,4.0,91,10
upled,4.010006,4.0,110,12
filed,4.010006,4.0,111,11
picul,4.010006,4.0,112,12
golem,4.010006,4.0,123,12
botas,4.010006,4.0,131,11
merch,4.010202,4.0,91,11
spray,4.010202,4.0,98,10
mohel,4.010202,4.0,102,12
child,4.010202,4.0,109,11
rifte,4.010202,4.0,109,11
simul,4.010202,4.0,109,11
sonly,4.010202,4.0,119,11
lohan,4.010202,4.0,121,11
aspro,4.010202,4.0,122,11
liger,4.010202,4.0,130,12
duits,4.010202,4.0,140,11
firth,4.010398,4.0,87,10
pimas,4.010398,4.0,119,11
radge,4.010398,4.0,121,10
horns,4.010398,4.0,123,11
patus,4.010398,4.0,127,11
baser,4.010398,4.0,137,11
roids,4.010398,4.0,145,12
eilds,4.010398,4.0,151,12
noirs,4.010398,4.0,151,12
prowl,4.010594,4.0,83,10
campi,4.010594,4.0,92,10
campo,4.010594,4.0,99,12
sampi,4.010594,4.0,105,11
twire,4.010594,4.0,114,10
herds,4.010594,4.0,119,10
gulet,4.010594,4.0,126,11
shire,4.010594,4.0,128,11
pucer,4.010594,4.0,131,12
omits,4.010594,4.0,134,12
paeon,4.010594,4.0,140,11
heast,4.010594,4.0,141,11
goats,4.010594,4.0,148,11
idles,4.010594,4.0,153,12
phial,4.010791,4.0,101,11
dunam,4.010791,4.0,107,10
rusma,4.010791,4.0,111,12
roach,4.010791,4.0,118,11
ludic,4.010791,4.0,119,11
rings,4.010791,4.0,124,11
bruit,4.010791,4.0,126,10
niger,4.010791,4.0,137,11
gnars,4.010791,4.0,139,11
regna,4.010791,4.0,140,11
orans,4.010791,4.0,148,12
amped,4.010987,4.0,88,10
chela,4.010987,4.0,110,11
masur,4.010987,4.0,116,13
faint,4.010987,4.0,124,11
pulis,4.010987,4.0,125,11
rumen,4.010987,4.0,131,11
emirs,4.010987,4.0,135,13
organ,4.010987,4.0,142,11
bries,4.010987,4.0,144,12
runce,4.010987,4.0,144,11
mirch,4.011183,4.0,85,12
bonce,4.011183,4.0,117,11
write,4.011183,4.0,117,10
muils,4.011183,4.0,124,12
deign,4.011183,4.0,128,11
tabos,4.011183,4.0,130,11
girns,4.011183,4.0,131,11
ribes,4.011183,4.0,139,11
anime,4.011183,4.0,144,12
sicht,4.011379,4.0,102,11
bemad,4.011379,4.0,105,11
clash,4.011379,4.0,108,12
hards,4.011379,4.0,113,11
regma,4.011379,4.0,114,11
warst,4.011379,4.0,115,10
rebid,4.011379,4.0,116,10
pomas,4.011379,4.0,120,12
randy,4.011379,4.0,124,10
aspen,4.011379,4.0,126,11
demos,4.011379,4.0,131,12
monie,4.011379,4.0,141,12
duels,4.011379,4.0,144,11
saute,4.011379,4.0,160,11
delph,4.011575,4.0,81,11
dhals,4.011575,4.0,103,11
birdo,4.011575,4.0,111,11
galut,4.011575,4.0,116,11
kilts,4.011575,4.0,120,11
snary,4.011575,4.0,122,10
glide,4.011575,4.0,133,11
grans,4.011575,4.0,138,11
longe,4.011575,4.0,139,12
crise,4.011575,4.0,154,12
aeros,4.011575,4.0,166,12
plock,4.011772,4.0,86,11
dwelt,4.011772,4.0,91,9
impro,4.011772,4.0,91,12
pinge,4.011772,4.0,105,12
turbo,4.011772,4.0,105,10
trows,4.011772,4.0,112,11
theca,4.011772,4.0,116,11
blaud,4.011772,4.0,118,11
dopes,4.011772,4.0,123,11
courd,4.011772,4.0,127,12
nogal,4.011772,4.0,133,11
duals,4.011772,4.0,140,12
pluty,4.011968,4.0,91,10
drawl,4.011968,4.0,104,11
calif,4.011968,4.0,106,12
gorps,4.011968,4.0,107,11
octad,4.011968,4.0,121,11
corny,4.011968,4.0,127,11
nrtya,4.011968,4.0,130,11
bolas,4.011968,4.0,138,11
ulnad,4.011968,4.0,139,11
holms,4.012164,4.0,106,11
adorb,4.012164,4.0,113,11
bride,4.012164,4.0,118,10
robin,4.012164,4.0,121,11
glout,4.012164,4.0,125,10
writs,4.012164,4.0,131,10
ables,4.012164,4.0,135,12
resod,4.012164,4.0,136,11
smily,4.012360,4.0,92,11
dicht,4.012360,4.0,94,12
femal,4.012360,4.0,95,12
nimps,4.012360,4.0,100,11
demic,4.012360,4.0,108,11
wiled,4.012360,4.0,113,11
chota,4.012360,4.0,115,11
unarm,4.012360,4.0,118,12
ramus,4.012360,4.0,124,12
tomia,4.012360,4.0,126,12
clags,4.012360,4.0,127,12
harns,4.012360,4.0,127,11
epris,4.012360,4.0,129,12
crude,4.012360,4.0,136,11
bitos,4.012360,4.0,143,11
coirs,4.012360,4.0,148,13
orals,4.012360,4.0,156,12
ymolt,4.012556,4.0,90,11
ulmin,4.012556,4.0,115,11
wrast,4.012556,4.0,116,10
feard,4.012556,4.0,126,11
haunt,4.012556,4.0,126,10
flane,4.012556,4.0,128,12
pacos,4.012556,4.0,137,12
getas,4.012556,4.0,144,11
diota,4.012556,4.0,147,11
oiler,4.012556,4.0,155,13
bring,4.012753,4.0,98,11
hiper,4.012753,4.0,110,11
posca,4.012753,4.0,124,12
welts,4.012753,4.0,126,11
lyard,4.012753,4.0,130,11
beira,4.012753,4.0,139,12
siroc,4.012753,4.0,139,12
holes,4.012753,4.0,142,12
toeas,4.012753,4.0,163,12
soare,4.012753,4.0,165,12
spork,4.012949,4.0,83,11
plonk,4.012949,4.0,93,11
chile,4.012949,4.0,111,11
flied,4.012949,4.0,114,11
scapi,4.012949,4.0,117,11
stump,4.013145,4.0,81,10
barny,4.013145,4.0,107,11
laich,4.013145,4.0,115,12
freon,4.013145,4.0,120,11
cutin,4.013145,4.0,127,12
lound,4.013145,4.0,130,12
runds,4.013145,4.0,130,10
modes,4.013145,4.0,138,12
snide,4.013145,4.0,143,11
louts,4.013145,4.0,150,11
tumps,4.013341,4.0,87,11
sward,4.013341,4.0,98,10
mylar,4.013341,4.0,107,11
greps,4.013341,4.0,110,11
pareu,4.013341,4.0,122,12
hider,4.013341,4.0,126,11
putas,4.013341,4.0,128,11
halse,4.013341,4.0,134,12
capos,4.013341,4.0,136,12
shine,4.013341,4.0,136,10
curns,4.013341,4.0,137,12
domes,4.013341,4.0,137,12
gales,4.013341,4.0,154,12
parks,4.013537,4.0,101,12
breds,4.013537,4.0,108,10
fonts,4.013537,4.0,124,11
sheal,4.013537,4.0,124,10
tehrs,4.013537,4.0,125,11
sonic,4.013537,4.0,139,11
duars,4.013537,4.0,141,12
rices,4.013537,4.0,156,12
broch,4.013734,4.0,83,10
brach,4.013734,4.0,87,10
sworn,4.013734,4.0,101,10
aleph,4.013734,4.0,103,10
strum,4.013734,4.0,103,10
frons,4.013734,4.0,113,11
notum,4.013734,4.0,113,11
birds,4.013734,4.0,120,11
pelau,4.013734,4.0,124,12
hired,4.013734,4.0,130,11
orang,4.013734,4.0,137,11
reais,4.013734,4.0,177,12
fecal,4.013930,4.0,106,12
larfs,4.013930,4.0,112,12
grund,4.013930,4.0,114,11
baric,4.013930,4.0,118,12
mouls,4.013930,4.0,123,12
unred,4.013930,4.0,149,11
oriel,4.013930,4.0,152,12
fraps,4.014126,4.0,89,11
tophs,4.014126,4.0,106,10
belah,4.014126,4.0,108,11
pirog,4.014126,4.0,109,11
tardy,4.014126,4.0,123,11
basil,4.014126,4.0,126,12
feast,4.014126,4.0,129,11
ragde,4.014126,4.0,130,10
amore,4.014126,4.0,132,13
batos,4.014126,4.0,132,11
krait,4.014126,4.0,132,11
nigre,4.014126,4.0,143,11
urite,4.014126,4.0,152,11
raphe,4.014322,4.0,101,10
clonk,4.014322,4.0,104,12
ledum,4.014322,4.0,116,12
burst,4.014322,4.0,118,11
dorty,4.014322,4.0,121,11
dangs,4.014322,4.0,122,11
glute,4.014322,4.0,128,11
puers,4.014322,4.0,134,12
osetr,4.014322,4.0,141,11
ulcer,4.014322,4.0,142,13
lotus,4.014322,4.0,146,11
eloin,4.014322,4.0,151,12
cadie,4.014322,4.0,153,12
primy,4.014518,4.0,85,10
berth,4.014518,4.0,94,10
pyral,4.014518,4.0,102,11
debts,4.014518,4.0,108,10
mohar,4.014518,4.0,111,11
haldi,4.014518,4.0,118,11
perdu,4.014518,4.0,122,11
trady,4.014518,4.0,122,11
musar,4.014518,4.0,123,12
chair,4.014518,4.0,125,12
inerm,4.014518,4.0,125,11
arums,4.014518,4.0,127,12
stoic,4.014518,4.0,135,11
spawl,4.014715,4.0,83,10
brank,4.014715,4.0,97,11
flirs,4.014715,4.0,112,12
manso,4.014715,4.0,138,12
facts,4.014911,4.0,112,11
trave,4.014911,4.0,119,11
latke,4.014911,4.0,121,12
super,4.014911,4.0,122,11
flare,4.014911,4.0,127,12
fents,4.014911,4.0,130,11
range,4.014911,4.0,136,11
nagor,4.014911,4.0,139,11
mulie,4.014911,4.0,142,12
orcas,4.014911,4.0,150,12
naids,4.014911,4.0,160,11
blawn,4.015107,4.0,84,10
strak,4.015107,4.0,103,11
amber,4.015107,4.0,108,11
pound,4.015107,4.0,111,10
caneh,4.015107,4.0,115,11
weald,4.015107,4.0,117,11
minge,4.015107,4.0,118,12
duroc,4.015107,4.0,124,11
cargo,4.015107,4.0,126,12
mesca,4.015107,4.0,130,13
boast,4.015107,4.0,134,11
sound,4.015107,4.0,135,10
felts,4.015107,4.0,139,11
haros,4.015107,4.0,146,12
acoel,4.015107,4.0,147,12
mafts,4.015303,4.0,91,11
twerp,4.015303,4.0,94,10
pylon,4.015303,4.0,98,11
shape,4.015303,4.0,104,10
knarl,4.015303,4.0,111,12
helms,4.015303,4.0,112,12
rowen,4.015303,4.0,119,10
duras,4.015303,4.0,135,12
glift,4.015499,4.0,99,10
shand,4.015499,4.0,105,10
fared,4.015499,4.0,122,11
rebut,4.015499,4.0,124,11
rendu,4.015499,4.0,130,11
media,4.015499,4.0,131,12
boars,4.015499,4.0,135,12
rhine,4.015499,4.0,138,11
hates,4.015499,4.0,144,11
melch,4.015696,4.0,85,11
rypin,4.015696,4.0,104,10
skort,4.015696,4.0,112,11
sober,4.015696,4.0,120,11
stary,4.015696,4.0,120,10
login,4.015696,4.0,133,11
cunts,4.015696,4.0,136,11
minos,4.015696,4.0,138,12
tiges,4.015696,4.0,154,11
bandh,4.015892,4.0,81,10
mbari,4.015892,4.0,95,12
dahls,4.015892,4.0,103,11
mucro,4.015892,4.0,108,13
garbe,4.015892,4.0,110,11
dirty,4.015892,4.0,115,10
shame,4.015892,4.0,117,11
rabis,4.015892,4.0,132,11
odals,4.015892,4.0,141,12
picas,4.015892,4.0,142,12
tansu,4.015892,4.0,148,11
films,4.016088,4.0,92,11
slack,4.016088,4.0,101,12
sabed,4.016088,4.0,118,10
deism,4.016088,4.0,124,11
twins,4.016088,4.0,124,11
detag,4.016088,4.0,125,11
crudo,4.016088,4.0,127,11
longs,4.016088,4.0,132,11
posed,4.016088,4.0,132,11
apiol,4.016088,4.0,134,12
amins,4.016088,4.0,135,12
angel,4.016088,4.0,137,11
rhomb,4.016284,4.0,67,10
straw,4.016284,4.0,94,10
spang,4.016284,4.0,104,10
slung,4.016284,4.0,106,10
dhols,4.016284,4.0,119,11
bacon,4.016284,4.0,120,11
betid,4.016284,4.0,121,10
buran,4.016284,4.0,124,11
dogan,4.016284,4.0,127,11
frena,4.016284,4.0,127,11
loupe,4.016284,4.0,127,11
acone,4.016284,4.0,133,12
besit,4.016284,4.0,133,10
pules,4.016284,4.0,140,12
amine,4.016284,4.0,141,12
biers,4.016284,4.0,149,12
irons,4.016284,4.0,161,11
cines,4.016284,4.0,162,12
forma,4.016480,4.0,106,12
tachs,4.016480,4.0,112,11
wants,4.016480,4.0,123,11
meids,4.016480,4.0,132,11
shone,4.016480,4.0,133,10
boers,4.016480,4.0,134,12
