opener,avg_guesses,median_guesses,fails,max_guesses
polts,3.937610,4.0,97,10
drape,3.937807,4.0,97,11
sitar,3.937807,4.0,125,10
tarse,3.938003,4.0,135,11
realm,3.938395,4.0,102,12
trims,3.938395,4.0,105,11
licet,3.938395,4.0,115,12
sater,3.938395,4.0,132,10
morts,3.938591,4.0,104,12
carle,3.938591,4.0,120,13
arets,3.938591,4.0,139,11
spard,3.938788,4.0,89,10
mater,3.938788,4.0,103,12
tolan,3.938788,4.0,120,11
thirl,3.938984,4.0,94,11
metol,3.938984,4.0,104,11
tries,3.938984,4.0,132,12
scart,3.939180,4.0,99,11
tards,3.939180,4.0,104,11
airts,3.939180,4.0,142,12
place,3.939376,4.0,106,12
recta,3.939376,4.0,110,11
tiers,3.939376,4.0,128,12
strap,3.939572,4.0,85,10
dital,3.939572,4.0,110,11
saint,3.939768,4.0,125,11
parid,3.939965,4.0,100,11
scant,3.939965,4.0,108,10
teams,3.939965,4.0,121,12
ploce,3.940161,4.0,93,11
matlo,3.940161,4.0,99,12
mitre,3.940161,4.0,105,12
tonal,3.940357,4.0,120,11
pilot,3.940749,4.0,99,11
penal,3.940749,4.0,107,11
cater,3.940749,4.0,119,12
ronts,3.940749,4.0,121,10
stela,3.940749,4.0,127,11
merit,3.940946,4.0,111,11
spent,3.941142,4.0,94,10
aport,3.941142,4.0,106,11
spale,3.941142,4.0,108,11
pored,3.941142,4.0,109,11
teins,3.941142,4.0,145,11
trads,3.941338,4.0,106,10
clone,3.941338,4.0,114,12
tared,3.941338,4.0,116,11
trade,3.941338,4.0,118,11
relit,3.941534,4.0,126,11
clept,3.941730,4.0,87,11
prunt,3.941730,4.0,88,10
spate,3.941730,4.0,103,10
pants,3.941730,4.0,106,11
sault,3.941730,4.0,119,11
scarp,3.941927,4.0,85,11
plans,3.941927,4.0,105,11
sorta,3.941927,4.0,120,11
clits,3.941927,4.0,121,11
talcs,3.942123,4.0,119,12
derat,3.942123,4.0,134,11
tires,3.942123,4.0,134,12
strop,3.942319,4.0,84,10
marle,3.942319,4.0,103,13
prost,3.942515,4.0,95,11
caird,3.942515,4.0,119,11
armil,3.942908,4.0,101,12
patin,3.942908,4.0,105,11
dorts,3.942908,4.0,113,11
taser,3.942908,4.0,131,11
mante,3.943104,4.0,105,11
dotal,3.943104,4.0,107,10
camel,3.943300,4.0,98,13
lirot,3.943300,4.0,129,12
pints,3.943496,4.0,107,11
ronte,3.943496,4.0,124,10
petri,3.943692,4.0,98,11
macle,3.943692,4.0,100,13
plied,3.943692,4.0,101,11
senti,3.943692,4.0,121,10
parms,3.943889,4.0,81,12
retam,3.943889,4.0,102,11
plane,3.943889,4.0,103,11
lints,3.943889,4.0,120,11
clomp,3.944085,4.0,69,11
derma,3.944085,4.0,104,12
neats,3.944085,4.0,146,11
parol,3.944281,4.0,102,12
triad,3.944281,4.0,128,11
trods,3.944477,4.0,104,11
prian,3.944477,4.0,108,10
dants,3.944477,4.0,113,11
trend,3.944477,4.0,114,11
salto,3.944477,4.0,119,11
triol,3.944477,4.0,121,11
cleat,3.944477,4.0,123,11
nipet,3.944673,4.0,102,11
tical,3.944673,4.0,111,12
nerts,3.944673,4.0,123,11
perst,3.944870,4.0,104,10
scrat,3.944870,4.0,104,10
prone,3.944870,4.0,107,11
lapin,3.944870,4.0,108,11
manet,3.944870,4.0,109,11
peats,3.944870,4.0,120,11
snirt,3.944870,4.0,130,10
pelma,3.945066,4.0,82,12
apter,3.945066,4.0,102,11
rotan,3.945066,4.0,124,11
stole,3.945066,4.0,124,10
drone,3.945066,4.0,128,11
carps,3.945262,4.0,99,12
remit,3.945262,4.0,109,11
padle,3.945458,4.0,99,11
samel,3.945458,4.0,105,12
tilde,3.945458,4.0,112,11
dolma,3.945654,4.0,97,11
glint,3.945654,4.0,100,10
piled,3.945654,4.0,102,11
maril,3.945654,4.0,104,13
salut,3.945654,4.0,113,11
rotls,3.945654,4.0,114,11
scalp,3.945851,4.0,94,11
carpe,3.945851,4.0,110,12
maron,3.945851,4.0,112,12
panto,3.946047,4.0,100,10
marls,3.946047,4.0,105,13
peril,3.946047,4.0,105,11
panir,3.946047,4.0,109,11
mints,3.946047,4.0,111,11
arpen,3.946047,4.0,120,11
tabls,3.946243,4.0,93,11
limed,3.946243,4.0,100,12
rapin,3.946243,4.0,104,10
clame,3.946243,4.0,108,13
amort,3.946243,4.0,112,12
lated,3.946243,4.0,120,11
toras,3.946243,4.0,134,12
paler,3.946439,4.0,107,12
retin,3.946439,4.0,133,11
mirth,3.946635,4.0,77,11
claim,3.946635,4.0,94,13
copra,3.946635,4.0,98,11
taroc,3.946635,4.0,113,12
troad,3.946635,4.0,114,11
telic,3.946635,4.0,117,11
metas,3.946635,4.0,121,12
telia,3.946635,4.0,137,11
telco,3.946831,4.0,106,11
ratos,3.946831,4.0,131,11
nepit,3.947028,4.0,103,11
meint,3.947028,4.0,112,11
preon,3.947028,4.0,113,11
rated,3.947028,4.0,114,11
canto,3.947028,4.0,115,11
toled,3.947028,4.0,123,11
sared,3.947028,4.0,129,10
rates,3.947028,4.0,143,11
bland,3.947224,4.0,89,10
strad,3.947224,4.0,101,10
paint,3.947224,4.0,111,11
tired,3.947224,4.0,121,10
nitre,3.947224,4.0,136,11
silen,3.947224,4.0,138,11
litas,3.947224,4.0,141,11
blits,3.947420,4.0,96,10
ponts,3.947420,4.0,105,11
padre,3.947616,4.0,95,10
siled,3.947616,4.0,125,11
strae,3.947616,4.0,133,10
recal,3.947812,4.0,117,12
dolts,3.947812,4.0,118,10
antre,3.947812,4.0,132,11
thorn,3.948009,4.0,95,10
satem,3.948009,4.0,105,11
tride,3.948009,4.0,118,11
maile,3.948009,4.0,121,13
clots,3.948009,4.0,123,11
noter,3.948009,4.0,128,11
carne,3.948205,4.0,134,11
seral,3.948401,4.0,127,11
craps,3.948597,4.0,99,11
bilat,3.948597,4.0,100,10
leman,3.948597,4.0,106,12
plets,3.948597,4.0,111,10
cital,3.948597,4.0,115,12
caron,3.948597,4.0,125,12
slade,3.948793,4.0,118,11
stane,3.948793,4.0,131,10
chart,3.948990,4.0,88,11
macte,3.948990,4.0,91,12
model,3.948990,4.0,97,12
stond,3.948990,4.0,103,10
darls,3.948990,4.0,116,12
elint,3.948990,4.0,125,11
tores,3.948990,4.0,130,12
paled,3.949186,4.0,104,11
belit,3.949186,4.0,108,10
panel,3.949382,4.0,113,12
plain,3.949578,4.0,108,11
nital,3.949578,4.0,121,12
lance,3.949578,4.0,124,12
earst,3.949578,4.0,131,11
rites,3.949774,4.0,131,11
toles,3.949774,4.0,148,12
radon,3.949971,4.0,121,10
sprod,3.950167,4.0,79,9
parcs,3.950363,4.0,99,12
coapt,3.950363,4.0,104,11
dearn,3.950363,4.0,132,11
spore,3.950559,4.0,102,11
blite,3.950559,4.0,110,10
dater,3.950559,4.0,114,11
storm,3.950755,4.0,89,11
perns,3.950755,4.0,102,12
tribe,3.950755,4.0,102,10
carns,3.950755,4.0,121,12
pearl,3.950755,4.0,123,12
pears,3.950755,4.0,125,12
pents,3.950952,4.0,110,11
carls,3.950952,4.0,118,13
meals,3.950952,4.0,130,13
tiars,3.950952,4.0,140,12
tharm,3.951148,4.0,74,11
marid,3.951148,4.0,110,12
tread,3.951148,4.0,122,11
cairn,3.951148,4.0,130,12
brand,3.951344,4.0,89,10
maerl,3.951344,4.0,97,12
colts,3.951344,4.0,124,11
tenor,3.951344,4.0,133,11
thorp,3.951540,4.0,71,10
repot,3.951540,4.0,99,11
toper,3.951540,4.0,108,11
repla,3.951540,4.0,111,11
cotan,3.951540,4.0,113,11
triac,3.951540,4.0,122,11
lited,3.951540,4.0,125,11
peals,3.951540,4.0,129,12
dears,3.951540,4.0,132,12
artis,3.951540,4.0,139,11
drent,3.951736,4.0,115,11
moner,3.951736,4.0,116,12
prams,3.951933,4.0,82,12
scrap,3.951933,4.0,86,11
molts,3.951933,4.0,105,11
plaid,3.951933,4.0,106,11
timer,3.951933,4.0,109,12
sepal,3.951933,4.0,111,11
grant,3.951933,4.0,114,10
satin,3.951933,4.0,124,10
ramin,3.952129,4.0,109,11
botel,3.952325,4.0,96,11
rapid,3.952325,4.0,101,11
bleat,3.952325,4.0,111,11
santo,3.952325,4.0,125,11
crone,3.952325,4.0,129,11
orant,3.952325,4.0,134,11
glamp,3.952521,4.0,65,11
recap,3.952521,4.0,97,11
drams,3.952521,4.0,100,12
scald,3.952521,4.0,100,12
brent,3.952521,4.0,102,10
meril,3.952521,4.0,105,12
tines,3.952521,4.0,148,11
prole,3.952717,4.0,103,11
ranid,3.952717,4.0,124,10
alist,3.952717,4.0,139,11
crane,3.952717,4.0,142,11
thrip,3.952913,4.0,73,10
stilb,3.952913,4.0,83,9
brond,3.952913,4.0,91,10
spald,3.952913,4.0,95,11
ablet,3.952913,4.0,97,10
menil,3.952913,4.0,106,12
samen,3.952913,4.0,110,11
roate,3.952913,4.0,136,11
menta,3.953110,4.0,109,11
miler,3.953110,4.0,113,13
moran,3.953110,4.0,113,12
notal,3.953110,4.0,120,11
seron,3.953110,4.0,124,10
niter,3.953110,4.0,131,11
padri,3.953306,4.0,96,11
madre,3.953306,4.0,105,12
mants,3.953306,4.0,110,11
dirts,3.953306,4.0,111,11
porns,3.953502,4.0,105,11
bloat,3.953502,4.0,106,11
moten,3.953502,4.0,108,11
proin,3.953502,4.0,109,11
derns,3.953502,4.0,120,11
salmi,3.953698,4.0,102,12
clipe,3.953698,4.0,108,11
tains,3.953698,4.0,139,11
maple,3.953894,4.0,87,12
halts,3.953894,4.0,103,11
plena,3.953894,4.0,107,11
sield,3.953894,4.0,118,11
seton,3.953894,4.0,125,10
lites,3.953894,4.0,144,12
poral,3.954091,4.0,101,11
thale,3.954091,4.0,101,10
arled,3.954091,4.0,122,11
tined,3.954091,4.0,126,10
tolas,3.954091,4.0,134,11
prang,3.954287,4.0,87,11
pried,3.954287,4.0,101,11
doner,3.954287,4.0,131,11
balot,3.954483,4.0,104,11
slope,3.954483,4.0,111,10
prest,3.954483,4.0,114,11
cadre,3.954483,4.0,118,12
stire,3.954483,4.0,123,11
ramps,3.954679,4.0,76,11
capot,3.954679,4.0,102,11
morne,3.954679,4.0,120,12
soled,3.954679,4.0,122,12
narod,3.954679,4.0,129,11
prims,3.954875,4.0,88,11
raped,3.954875,4.0,99,10
salop,3.954875,4.0,107,11
derms,3.955072,4.0,97,11
doper,3.955072,4.0,107,11
pacer,3.955072,4.0,110,12
draco,3.955072,4.0,117,11
torcs,3.955072,4.0,117,11
teind,3.955072,4.0,127,11
orped,3.955268,4.0,101,10
plica,3.955268,4.0,103,11
speat,3.955268,4.0,107,10
moled,3.955268,4.0,114,12
certs,3.955268,4.0,123,11
crame,3.955268,4.0,126,12
delts,3.955268,4.0,128,12
trios,3.955268,4.0,142,11
blert,3.955464,4.0,93,11
trabs,3.955464,4.0,93,10
draps,3.955464,4.0,95,11
calps,3.955464,4.0,110,12
morel,3.955464,4.0,117,13
trode,3.955464,4.0,125,11
morna,3.955660,4.0,115,12
redan,3.955660,4.0,121,11
stair,3.955660,4.0,131,11
reist,3.955660,4.0,133,10
tians,3.955660,4.0,137,11
plims,3.955856,4.0,85,11
spurt,3.955856,4.0,93,10
perls,3.955856,4.0,110,11
heart,3.955856,4.0,120,11
rotas,3.955856,4.0,137,11
stare,3.955856,4.0,140,11
podal,3.956053,4.0,96,11
bolet,3.956053,4.0,103,11
dream,3.956053,4.0,103,11
pleon,3.956053,4.0,104,12
clasp,3.956053,4.0,105,12
limen,3.956053,4.0,111,12
moder,3.956053,4.0,111,12
slime,3.956053,4.0,114,11
tepas,3.956053,4.0,117,11
steal,3.956053,4.0,123,11
rance,3.956053,4.0,124,11
daint,3.956053,4.0,127,10
pedal,3.956249,4.0,103,11
stand,3.956249,4.0,107,10
claps,3.956249,4.0,111,12
scran,3.956249,4.0,112,11
calid,3.956249,4.0,127,12
crits,3.956249,4.0,127,11
dares,3.956249,4.0,138,11
palms,3.956445,4.0,88,12
doilt,3.956445,4.0,114,11
riled,3.956445,4.0,116,11
crost,3.956445,4.0,121,11
lacer,3.956445,4.0,121,13
tones,3.956445,4.0,147,11
timps,3.956641,4.0,84,11
ramon,3.956641,4.0,112,11
reaps,3.956641,4.0,119,11
clied,3.956641,4.0,120,12
pores,3.956641,4.0,127,12
stear,3.956641,4.0,130,10
clean,3.956641,4.0,133,12
deals,3.956641,4.0,136,12
trump,3.956837,4.0,68,11
parmo,3.956837,4.0,95,12
slorm,3.956837,4.0,105,12
spail,3.956837,4.0,107,11
caper,3.956837,4.0,110,12
tomen,3.956837,4.0,112,11
armed,3.956837,4.0,114,11
dents,3.956837,4.0,128,11
blent,3.957034,4.0,90,10
proal,3.957034,4.0,99,12
spite,3.957034,4.0,105,10
snarl,3.957034,4.0,110,11
trems,3.957034,4.0,110,11
drain,3.957034,4.0,130,11
blanc,3.957230,4.0,88,11
moper,3.957230,4.0,91,12
medal,3.957230,4.0,101,12
lamed,3.957230,4.0,102,12
plore,3.957230,4.0,108,12
scorn,3.957230,4.0,112,11
ments,3.957230,4.0,121,11
droit,3.957230,4.0,126,11
lento,3.957230,4.0,129,12
senor,3.957230,4.0,132,11
riots,3.957230,4.0,145,11
sprad,3.957426,4.0,92,10
prial,3.957426,4.0,107,11
plead,3.957426,4.0,110,11
spiel,3.957426,4.0,115,11
surat,3.957426,4.0,126,11
compt,3.957622,4.0,73,11
crimp,3.957622,4.0,75,11
malic,3.957622,4.0,99,13
clime,3.957622,4.0,103,12
calms,3.957622,4.0,104,13
paste,3.957622,4.0,108,11
smile,3.957622,4.0,110,11
plein,3.957622,4.0,114,12
sated,3.957622,4.0,118,10
socle,3.957622,4.0,122,11
stria,3.957622,4.0,138,11
gript,3.957818,4.0,89,11
tulpa,3.957818,4.0,90,10
matin,3.957818,4.0,110,11
ramen,3.957818,4.0,110,11
poled,3.957818,4.0,114,11
sited,3.957818,4.0,116,10
recit,3.957818,4.0,126,11
crena,3.957818,4.0,132,11
nates,3.957818,4.0,145,11
prads,3.958015,4.0,98,11
coper,3.958015,4.0,105,12
brats,3.958211,4.0,97,10
strim,3.958211,4.0,97,11
price,3.958211,4.0,99,11
belar,3.958211,4.0,101,11
tamin,3.958211,4.0,110,11
lepra,3.958211,4.0,118,12
repas,3.958211,4.0,118,11
males,3.958211,4.0,119,13
diner,3.958407,4.0,133,11
shart,3.958603,4.0,96,10
pardi,3.958603,4.0,98,11
brits,3.958603,4.0,106,10
drail,3.958603,4.0,132,11
tiros,3.958603,4.0,143,12
blats,3.958799,4.0,99,11
carol,3.958799,4.0,122,13
dales,3.958799,4.0,136,12
roped,3.958995,4.0,104,10
miter,3.958995,4.0,109,12
lande,3.958995,4.0,120,11
laden,3.958995,4.0,122,11
cripe,3.959192,4.0,101,11
macer,3.959192,4.0,111,13
lerps,3.959192,4.0,114,11
poler,3.959192,4.0,117,12
ceorl,3.959192,4.0,125,12
denar,3.959192,4.0,125,11
moral,3.959388,4.0,108,12
boart,3.959388,4.0,112,10
tardo,3.959388,4.0,115,11
dints,3.959388,4.0,125,11
droil,3.959388,4.0,128,11
reals,3.959388,4.0,147,12
picra,3.959584,4.0,99,11
mrads,3.959584,4.0,103,12
nadir,3.959584,4.0,123,11
rotes,3.959584,4.0,133,11
tamps,3.959780,4.0,86,11
daric,3.959780,4.0,111,12
melas,3.959780,4.0,119,13
manor,3.959780,4.0,121,12
torse,3.959780,4.0,131,11
leans,3.959780,4.0,155,12
drops,3.959976,4.0,99,11
polar,3.959976,4.0,108,12
racon,3.959976,4.0,129,11
speld,3.960173,4.0,85,10
reman,3.960173,4.0,105,11
ament,3.960173,4.0,109,11
prion,3.960173,4.0,112,11
stean,3.960173,4.0,129,10
raile,3.960173,4.0,143,12
pards,3.960369,4.0,100,11
lotsa,3.960369,4.0,129,11
raned,3.960369,4.0,129,11
lotas,3.960369,4.0,131,11
pales,3.960369,4.0,136,12
planh,3.960565,4.0,77,10
cloth,3.960565,4.0,87,10
tamed,3.960565,4.0,101,11
pacts,3.960565,4.0,111,11
ripen,3.960565,4.0,111,10
tapes,3.960565,4.0,126,11
miles,3.960565,4.0,137,13
telos,3.960565,4.0,149,12
gramp,3.960761,4.0,61,10
spile,3.960761,4.0,115,10
laith,3.960761,4.0,116,11
steil,3.960761,4.0,126,10
deman,3.960957,4.0,97,11
cloam,3.960957,4.0,105,12
gilet,3.960957,4.0,118,11
drole,3.960957,4.0,121,11
pilae,3.960957,4.0,123,11
caner,3.960957,4.0,128,12
terai,3.960957,4.0,139,11
maned,3.961154,4.0,98,11
slain,3.961154,4.0,130,12
melic,3.961350,4.0,99,12
tulip,3.961350,4.0,101,10
saned,3.961350,4.0,120,10
paire,3.961350,4.0,121,12
pelas,3.961350,4.0,127,12
resit,3.961350,4.0,127,11
diram,3.961546,4.0,102,11
pails,3.961546,4.0,123,12
sidle,3.961546,4.0,123,11
loast,3.961546,4.0,131,12
third,3.961742,4.0,96,10
plier,3.961742,4.0,119,12
crans,3.961742,4.0,123,11
laird,3.961742,4.0,134,12
pirls,3.961938,4.0,102,12
limns,3.961938,4.0,104,11
serac,3.961938,4.0,126,11
sloth,3.962135,4.0,99,9
blast,3.962135,4.0,102,10
pleno,3.962135,4.0,104,12
reams,3.962135,4.0,127,12
snore,3.962135,4.0,143,11
reans,3.962135,4.0,144,12
plasm,3.962331,4.0,83,12
bronc,3.962331,4.0,89,11
mired,3.962331,4.0,106,12
crema,3.962331,4.0,110,13
toman,3.962331,4.0,110,11
redon,3.962331,4.0,119,11
clans,3.962331,4.0,126,12
cants,3.962331,4.0,127,11
limps,3.962527,4.0,87,11
pinta,3.962527,4.0,113,11
lards,3.962527,4.0,119,12
crest,3.962527,4.0,121,11
nempt,3.962723,4.0,78,11
spect,3.962723,4.0,94,10
pated,3.962723,4.0,104,10
tends,3.962723,4.0,130,11
limpa,3.962919,4.0,84,11
modal,3.962919,4.0,96,11
plout,3.962919,4.0,100,10
drome,3.962919,4.0,116,11
pares,3.962919,4.0,126,11
clair,3.962919,4.0,130,13
crine,3.962919,4.0,131,11
toils,3.962919,4.0,141,11
porth,3.963116,4.0,82,11
prism,3.963116,4.0,85,11
prime,3.963116,4.0,89,11
front,3.963116,4.0,95,10
pilar,3.963116,4.0,110,12
molar,3.963116,4.0,113,12
mails,3.963116,4.0,123,13
laced,3.963116,4.0,124,12
tames,3.963116,4.0,126,12
poles,3.963116,4.0,130,12
nitro,3.963116,4.0,131,11
sloan,3.963116,4.0,132,12
domal,3.963312,4.0,97,11
timed,3.963312,4.0,100,11
blist,3.963312,4.0,106,10
taber,3.963312,4.0,106,11
lands,3.963312,4.0,117,12
tamis,3.963312,4.0,118,12
slipe,3.963312,4.0,121,10
sceat,3.963312,4.0,123,11
clear,3.963312,4.0,131,12
lotes,3.963312,4.0,150,12
shirt,3.963508,4.0,105,10
raith,3.963508,4.0,115,11
scent,3.963508,4.0,121,10
lenti,3.963508,4.0,127,12
peans,3.963508,4.0,133,12
siler,3.963508,4.0,136,12
ratch,3.963704,4.0,86,11
mulct,3.963704,4.0,87,11
chant,3.963704,4.0,89,10
gland,3.963704,4.0,110,10
doter,3.963704,4.0,124,11
grate,3.963704,4.0,124,10
rando,3.963704,4.0,126,10
pates,3.963704,4.0,128,11
inlet,3.963704,4.0,130,11
scold,3.963900,4.0,99,10
roman,3.963900,4.0,110,11
artic,3.963900,4.0,120,12
claro,3.963900,4.0,121,12
piner,3.963900,4.0,121,11
sorel,3.963900,4.0,131,12
lined,3.963900,4.0,132,12
solan,3.963900,4.0,133,11
roset,3.963900,4.0,134,11
atrip,3.964097,4.0,102,11
copal,3.964097,4.0,106,11
clips,3.964097,4.0,108,11
metro,3.964097,4.0,111,12
cared,3.964097,4.0,129,12
leams,3.964097,4.0,134,13
dorps,3.964293,4.0,90,11
scram,3.964293,4.0,92,12
tulps,3.964293,4.0,100,11
riped,3.964293,4.0,104,10
marcs,3.964293,4.0,108,13
spire,3.964293,4.0,112,11
larch,3.964489,4.0,88,12
pruta,3.964489,4.0,98,11
borts,3.964489,4.0,108,11
dirls,3.964489,4.0,121,12
darns,3.964489,4.0,122,11
narco,3.964489,4.0,123,12
ronde,3.964489,4.0,127,11
altos,3.964489,4.0,134,11
roast,3.964489,4.0,136,11
pluot,3.964685,4.0,94,10
romal,3.964685,4.0,103,11
lathe,3.964685,4.0,105,11
porae,3.964685,4.0,124,11
stein,3.964685,4.0,131,11
sarin,3.964685,4.0,134,11
piles,3.964685,4.0,137,12
short,3.964881,4.0,99,10
snath,3.964881,4.0,104,10
milor,3.964881,4.0,109,13
repin,3.964881,4.0,110,11
rands,3.964881,4.0,116,11
cents,3.964881,4.0,134,11
antes,3.964881,4.0,142,11
crith,3.965077,4.0,96,11
blond,3.965077,4.0,97,11
pedro,3.965077,4.0,99,10
prods,3.965077,4.0,99,11
hilts,3.965077,4.0,105,10
spoil,3.965077,4.0,108,11
pirns,3.965077,4.0,110,11
brane,3.965077,4.0,115,11
narcs,3.965077,4.0,120,12
ralph,3.965274,4.0,81,10
milpa,3.965274,4.0,87,11
carom,3.965274,4.0,104,13
lamer,3.965274,4.0,110,13
smore,3.965274,4.0,113,12
norma,3.965274,4.0,117,12
meils,3.965274,4.0,130,12
store,3.965274,4.0,130,11
tabor,3.965470,4.0,102,11
flirt,3.965470,4.0,103,11
brast,3.965470,4.0,104,10
